x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
211,-0.0352,0.0327,0.9941,0.07,0.0437,0.2537,stationary_z_up
212,-0.0364,0.0349,0.9938,0.2275,-0.0088,0.2013,stationary_z_up
213,-0.0346,0.0346,0.995,0.1575,0.0175,0.2188,stationary_z_up
214,-0.0353,0.0344,0.9931,0.1312,0.0613,0.2625,stationary_z_up
215,-0.0354,0.0352,0.9952,0.0875,0.0525,0.2275,stationary_z_up
216,-0.0349,0.0332,0.9955,0.0875,0.0262,0.2362,stationary_z_up
217,-0.0368,0.0332,0.9945,0.105,-0.0088,0.3063,stationary_z_up
218,-0.0357,0.0334,0.9936,0.1838,0.0525,0.2625,stationary_z_up
219,-0.0356,0.0357,0.9938,0.2625,0.0525,0.2188,stationary_z_up
220,-0.0356,0.0344,0.9938,0.21,0.105,0.28,stationary_z_up
221,-0.0351,0.0339,0.9931,0.2537,0.14,0.21,stationary_z_up
222,-0.0351,0.0337,0.9953,0.1925,0.0875,0.2188,stationary_z_up
223,-0.0346,0.0344,0.9936,0.1312,0.0525,0.2713,stationary_z_up
224,-0.0359,0.0349,0.9938,0.245,0.0437,0.2362,stationary_z_up
225,-0.0349,0.0342,0.9945,0.0525,0.0088,0.2362,stationary_z_up
226,-0.0361,0.0336,0.9951,0.1838,0.0613,0.2362,stationary_z_up
227,-0.0358,0.0337,0.9936,0.1925,0.0525,0.2713,stationary_z_up
228,-0.0364,0.0358,0.9938,0.1138,0,0.2362,stationary_z_up
229,-0.0363,0.0348,0.994,0.21,0.0088,0.2362,stationary_z_up
230,-0.0363,0.0341,0.9953,0.14,0.0175,0.2013,stationary_z_up
231,-0.0351,0.0339,0.994,0.0962,0.0613,0.2537,stationary_z_up
232,-0.0346,0.0346,0.9942,0.105,0.0437,0.2188,stationary_z_up
233,-0.0365,0.0349,0.9938,0.2188,0.0437,0.2625,stationary_z_up
234,-0.0366,0.0358,0.995,0.2362,0.0613,0.2013,stationary_z_up
235,-0.0356,0.035,0.994,0.2013,0.0525,0.2625,stationary_z_up
236,-0.0344,0.0334,0.9957,0.1663,0.0175,0.2537,stationary_z_up
