index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id,time_sec,segment_time_sec
187,3358562,-0.0307,0.0717,1.178,-0.3938,2.38,-0.3675,999.915,smooth_accel_decel,0,11.22,11.22
188,3358622,-0.1028,-0.0381,0.924,-0.7088,1.715,-0.3762,999.9495,smooth_accel_decel,0,11.28,11.28
189,3358682,-0.0339,-0.0581,0.9714,0.7525,-0.3762,0.1312,999.9202,smooth_accel_decel,0,11.34,11.34
190,3358742,-0.1147,-0.0129,0.7061,-0.49,1.2687,0.14,999.9382,smooth_accel_decel,0,11.4,11.4
191,3358802,0.0292,-0.0056,1.033,0.1925,-0.8487,0.8138,999.9287,smooth_accel_decel,0,11.46,11.46
192,3358862,0.0005,0.0066,1.1315,-1.33,0.1838,0.175,999.9434,smooth_accel_decel,0,11.52,11.52
193,3358922,0.0093,0.0439,1.239,0.2625,1.435,-0.1225,999.9463,smooth_accel_decel,0,11.58,11.58
194,3358982,-0.0576,-0.0278,0.823,-2.1788,0.9712,0.5075,999.948,smooth_accel_decel,0,11.64,11.64
195,3359042,-0.0342,0.051,1.0607,2.6862,-1.785,0.455,999.9504,smooth_accel_decel,0,11.7,11.7
196,3359102,-0.0651,-0.0393,0.9824,1.715,-1.1725,0.3938,999.9392,smooth_accel_decel,0,11.76,11.76
197,3359162,-0.0051,0.0925,1.0077,3.01,-2.1875,0.1225,999.9351,smooth_accel_decel,0,11.82,11.82
198,3359222,-0.0213,0.0034,1.0879,3.7538,-0.6212,-0.1138,999.9255,smooth_accel_decel,0,11.88,11.88
199,3359282,-0.0034,0.0246,1.0112,5.005,-2.7125,0.4112,999.9116,smooth_accel_decel,0,11.94,11.94
200,3359342,-0.0874,0.0998,0.9177,3.15,-3.64,0.8225,999.9197,smooth_accel_decel,0,12.0,12.0
201,3359402,-0.0359,0.0442,0.9645,-2.9488,0.9362,0.3587,999.936,smooth_accel_decel,0,12.06,12.06
202,3359462,-0.0686,-0.0654,0.8977,0.9187,0.945,0.385,999.9209,smooth_accel_decel,0,12.12,12.12
203,3359522,0.0519,-0.0081,1.0917,4.2875,2.2137,-0.0437,999.9353,smooth_accel_decel,0,12.18,12.18
204,3359582,0.0466,0.0835,0.9677,2.0038,1.26,0.14,999.9138,smooth_accel_decel,0,12.24,12.24
205,3359642,0.0036,0.124,1.208,-0.4025,4.4012,0.7262,999.9097,smooth_accel_decel,0,12.3,12.3
206,3359702,-0.1063,0.0091,1.0967,2.7738,3.0887,1.0412,999.8965,smooth_accel_decel,0,12.36,12.36
207,3359762,-0.0763,-0.0369,1.028,1.8375,-0.8662,0.07,999.9043,smooth_accel_decel,0,12.42,12.42
208,3359822,-0.0173,0.0859,0.9889,1.4525,-2.8175,0.6212,999.8862,smooth_accel_decel,0,12.48,12.48
209,3359882,-0.0205,0.0514,1.1456,0.2013,1.645,-0.3587,999.896,smooth_accel_decel,0,12.54,12.54
210,3359942,-0.1623,0.0054,0.7054,0.5863,-2.5375,-0.315,999.894,smooth_accel_decel,0,12.6,12.6
211,3360002,-0.0358,0.011,0.9108,3.8588,-1.4175,0.6562,999.928,smooth_accel_decel,0,12.66,12.66
212,3360062,-0.0041,-0.1427,1.101,-0.5163,-0.2275,0.2013,999.9299,smooth_accel_decel,0,12.72,12.72
213,3360122,0.0022,0.0837,1.124,-0.0613,-0.1925,0.0525,999.9346,smooth_accel_decel,0,12.78,12.78
214,3360182,-0.042,-0.0018,1.0094,2.7738,1.8987,-0.2713,999.916,smooth_accel_decel,0,12.84,12.84
215,3360242,-0.06,0.0823,0.9853,1.6888,-1.6013,0.6562,999.9287,smooth_accel_decel,0,12.9,12.9
216,3360302,-0.0265,-0.0157,1.145,1.6363,1.4525,-0.1838,999.9263,smooth_accel_decel,0,12.96,12.96
217,3360362,-0.0046,-0.0185,1.0538,-4.6988,0.0962,0.105,999.9126,smooth_accel_decel,0,13.02,13.02
218,3360422,0.0207,0.0447,0.9856,1.5575,-0.3587,-0.1663,999.8867,smooth_accel_decel,0,13.08,13.08
